mktrf,smb,hml,rmw,cma,rf,umd,dateff
-0.030900,-0.005200,0.015300,0.000100,0.027200,0.00960,0.049600,1982-06-30
-0.031900,0.009500,0.000900,0.010400,0.015500,0.01050,0.044500,1982-07-30
0.111400,-0.043500,0.009500,-0.018900,0.000900,0.00760,-0.035200,1982-08-31
0.012900,0.026100,0.002800,0.021400,-0.000400,0.00510,0.041900,1982-09-30
0.113000,0.019200,-0.036600,0.002900,-0.003400,0.00590,0.001800,1982-10-29
0.046700,0.044300,-0.018700,-0.009700,0.002700,0.00630,0.059500,1982-11-30
0.005500,-0.000400,-0.000200,-0.000100,0.010200,0.00670,0.000400,1982-12-31
0.036000,0.033500,-0.007500,-0.015500,-0.005800,0.00690,-0.017300,1983-01-31
0.025900,0.029200,0.007000,-0.005200,0.010500,0.00620,0.037700,1983-02-28
0.028200,0.013700,0.020200,-0.001700,0.027400,0.00630,0.009200,1983-03-31
0.066700,0.004800,0.004900,-0.001100,0.014200,0.00710,0.017200,1983-04-29
0.005200,0.063000,-0.014000,-0.018400,-0.015100,0.00690,-0.015600,1983-05-31
0.030700,0.011800,-0.039000,0.026000,-0.008700,0.00670,0.018000,1983-06-30
-0.040700,0.010100,0.056200,-0.001400,0.028100,0.00740,-0.031300,1983-07-29
-0.005000,-0.043200,0.055400,0.005100,0.019000,0.00760,-0.054300,1983-08-31
0.009100,0.003000,0.010100,0.012400,0.005000,0.00760,-0.000300,1983-09-30
-0.034400,-0.037700,0.049700,-0.007700,0.029600,0.00760,-0.045200,1983-10-31
0.021600,0.018700,-0.007200,-0.006700,0.006600,0.00700,-0.001300,1983-11-30
-0.017800,-0.004500,0.017300,0.016400,0.012700,0.00730,0.008400,1983-12-30
-0.019200,-0.000400,0.075800,-0.008900,0.029200,0.00760,-0.025600,1984-01-31
-0.048200,-0.015900,0.033300,0.009000,0.015800,0.00710,0.002200,1984-02-29
0.006300,-0.002900,0.004600,-0.009600,0.011700,0.00730,0.010700,1984-03-30
-0.005100,-0.009500,0.012000,0.033400,0.007600,0.00810,0.020700,1984-04-30
-0.059700,0.001300,0.003100,0.023600,-0.004600,0.00780,0.015100,1984-05-31
0.018200,0.001100,-0.026600,0.031700,-0.015600,0.00750,-0.007000,1984-06-29
-0.027400,-0.022200,0.003600,0.035500,-0.021500,0.00820,0.028500,1984-07-31
0.102800,-0.002600,-0.018200,-0.006800,-0.009200,0.00830,-0.055900,1984-08-31
-0.008000,-0.000300,0.052800,0.013700,0.024100,0.00860,0.036200,1984-09-28
-0.008400,-0.014400,0.004500,0.011800,-0.010900,0.01000,0.031600,1984-10-31
-0.017600,-0.010200,0.040600,0.007200,0.020600,0.00730,0.016400,1984-11-30
0.018400,-0.006500,-0.002600,0.013100,-0.013600,0.00640,0.014900,1984-12-31
0.079900,0.035100,-0.053500,-0.008900,-0.034100,0.00650,-0.068200,1985-01-31
0.012200,0.010400,-0.001000,0.012900,0.010600,0.00580,0.018800,1985-02-28
-0.008400,-0.013900,0.040700,0.012300,0.028800,0.00620,0.015800,1985-03-29
-0.009600,-0.001000,0.037200,0.015500,0.007100,0.00720,0.030400,1985-04-30
0.050900,-0.023100,-0.009600,0.013300,-0.014900,0.00660,0.039900,1985-05-31
0.012700,0.003500,0.003800,0.017600,-0.007700,0.00550,0.035700,1985-06-28
-0.007400,0.028700,-0.016200,-0.004200,-0.003800,0.00620,-0.039100,1985-07-31
-0.010200,-0.002900,0.023200,-0.001000,0.018300,0.00550,0.018500,1985-08-30
-0.045400,-0.018000,0.012900,0.011400,0.016400,0.00600,0.015100,1985-09-30
0.040200,-0.015000,0.007500,0.008900,-0.010600,0.00650,0.048800,1985-10-31
0.064800,0.000200,-0.028500,0.003300,-0.023200,0.00610,-0.004700,1985-11-29
0.038800,-0.004100,-0.015400,0.009900,-0.018000,0.00650,-0.002300,1985-12-31
0.006500,0.010100,0.004400,-0.020000,-0.020300,0.00560,0.030000,1986-01-31
0.071300,-0.007100,-0.007200,0.010600,-0.012000,0.00530,0.027600,1986-02-28
0.048800,-0.006600,-0.003900,0.012100,0.009200,0.00600,0.024100,1986-03-31
-0.013100,0.028400,-0.028700,0.029100,0.000300,0.00520,-0.003700,1986-04-30
0.046200,-0.012900,-0.002100,0.021300,0.010800,0.00490,0.020500,1986-05-30
0.010300,-0.008900,0.012800,0.018000,0.008700,0.00520,0.050700,1986-06-30
-0.064500,-0.034600,0.047000,-0.005400,0.008400,0.00520,0.018300,1986-07-31
0.060700,-0.043500,0.035100,-0.016600,0.032100,0.00460,-0.052800,1986-08-29
-0.086000,0.020500,0.032200,-0.000800,0.037100,0.00450,-0.057900,1986-09-30
0.046600,-0.023300,-0.014200,-0.000500,0.010000,0.00460,0.044600,1986-10-31
0.011700,-0.018800,-0.000700,0.010900,0.006700,0.00390,-0.002600,1986-11-28
-0.032700,0.001200,0.003600,0.007900,0.000900,0.00490,0.003500,1986-12-31
0.124700,-0.015400,-0.031600,0.001700,-0.010000,0.00420,0.022000,1987-01-30
0.043900,0.034000,-0.059100,-0.007600,-0.026600,0.00430,-0.020700,1987-02-27
0.016400,0.002800,0.016100,0.013600,0.041400,0.00470,0.016800,1987-03-31
-0.021100,-0.015400,-0.003900,-0.004900,0.010500,0.00440,0.002200,1987-04-30
0.001100,-0.005600,0.002300,0.005100,0.011400,0.00380,-0.007400,1987-05-29
0.039400,-0.022100,0.010400,0.017000,0.008400,0.00480,-0.002500,1987-06-30
0.038500,-0.011400,0.006800,-0.006100,0.016100,0.00460,0.027200,1987-07-31
0.035200,-0.009400,-0.009300,0.020400,-0.016100,0.00470,-0.008600,1987-08-31
-0.025900,0.003800,0.002700,-0.009700,0.018700,0.00450,0.007700,1987-09-30
-0.232400,-0.080700,0.042400,0.020400,0.023400,0.00600,-0.078600,1987-10-30
-0.077700,0.028500,0.029500,-0.018800,0.006800,0.00350,-0.011700,1987-11-30
0.068100,0.000600,-0.044300,0.029600,-0.024200,0.00390,0.058700,1987-12-31
